[L121, C9  ] KEYWORD        --> "if"
[L121, C12 ] SEPARATOR      --> "("
[L121, C13 ] IDENTIFIER     --> "tareas"
[L121, C19 ] SEPARATOR      --> "."
[L121, C20 ] IDENTIFIER     --> "isEmpty"
[L121, C27 ] SEPARATOR      --> "("
[L121, C28 ] SEPARATOR      --> ")"
[L121, C29 ] SEPARATOR      --> ")"
[L121, C31 ] KEYWORD        --> "return"
[L121, C37 ] SEPARATOR      --> ";"
[L123, C9  ] IDENTIFIER     --> "System"
[L123, C15 ] SEPARATOR      --> "."
[L123, C16 ] IDENTIFIER     --> "out"
[L123, C19 ] SEPARATOR      --> "."
[L123, C20 ] IDENTIFIER     --> "print"
[L123, C25 ] SEPARATOR      --> "("
[L123, C26 ] STRINGLIT      --> ""Número de tarea a completar: ""
[L123, C57 ] SEPARATOR      --> ")"
[L123, C58 ] SEPARATOR      --> ";"
[L124, C9  ] KEYWORD        --> "int"
[L124, C13 ] IDENTIFIER     --> "index"
[L124, C19 ] OPERATOR       --> "="
[L124, C21 ] IDENTIFIER     --> "scanner"
[L124, C28 ] SEPARATOR      --> "."
[L124, C29 ] IDENTIFIER     --> "nextInt"
[L124, C36 ] SEPARATOR      --> "("
[L124, C37 ] SEPARATOR      --> ")"
[L124, C39 ] OPERATOR       --> "-"
[L124, C41 ] INTEGERLIT     --> "1"
[L124, C42 ] SEPARATOR      --> ";"
[L125, C9  ] IDENTIFIER     --> "scanner"
[L125, C16 ] SEPARATOR      --> "."
[L125, C17 ] IDENTIFIER     --> "nextLine"
[L125, C25 ] SEPARATOR      --> "("
[L125, C26 ] SEPARATOR      --> ")"
[L125, C27 ] SEPARATOR      --> ";"
[L127, C9  ] KEYWORD        --> "if"
[L127, C12 ] SEPARATOR      --> "("
[L127, C13 ] IDENTIFIER     --> "index"
[L127, C19 ] OPERATOR       --> ">="
[L127, C22 ] INTEGERLIT     --> "0"
[L127, C24 ] OPERATOR       --> "&&"
[L127, C27 ] IDENTIFIER     --> "index"
[L127, C33 ] OPERATOR       --> "<"
